,charge transfer/e-
1,-0.057252
2,-0.098268
3,0.073513
4,-0.087371
5,0.153402
6,-0.12534
7,0.073191
8,0.004398
9,0.035337
10,0.032677
11,-0.043177
12,-0.056138
13,0.012793
14,0.079937
15,0.066075
16,-0.136687
17,-0.011742
18,-0.075294
19,0.071487
20,0.026063
21,0.06873
22,-0.095844
23,-0.053635
24,0.083113
25,-0.081471
26,-0.119176
27,0.155368
28,0.079508
29,0.063172
30,-0.099109
31,0.173808
32,-0.111261
33,0.064834
34,-0.054511
35,-0.144925
36,-0.05271
37,0.019473
38,0.051106
39,0.070214
40,0.026669
41,-0.092163
42,-0.116211
43,0.160048
44,0.050559
45,0.071079
46,0.075368
47,0.003536
48,0.042909
49,0.047724
50,0.079128
51,0.144495
52,-0.007669
53,-0.009924
54,-0.161951
55,-0.021173
56,0.073816
57,-0.138073
58,0.081241
59,0.017556
60,-0.078176
61,0.068383
62,-0.048815
63,-0.120374
64,0.150024
65,0.080023
66,-0.141711
67,-0.071616
68,-0.062706
69,-0.118661
70,0.077625
71,0.066308
72,-0.082743
73,-0.150917
74,-0.102687
75,-0.027373
76,0.168613
77,-0.046817
78,0.159415
79,-0.029591
80,-0.028739
81,-0.111683
82,0.050684
83,-0.041616
84,0.035045
85,-0.020502
86,0.075527
87,0.083642
88,0.051213
89,-0.051823
90,0.058278
91,0.078253
92,-0.022068
93,-0.09526
94,0.090803
95,-0.106579
96,-0.058909
97,0.053306
98,0.067789
99,-0.030801
100,0.120264
101,-0.097466
102,0.057966
103,0.070248
104,0.00375
105,0.073017
106,-0.04368
107,0.056446
108,0.182687
109,-0.098277
110,-0.121401
111,-0.103132
112,-0.024619
113,0.091013
114,-0.090723
115,-0.113285
116,-0.096398
117,-0.011494
118,0.090579
119,0.062959
120,0.002498
121,0.07002
122,0.082193
123,-0.043211
124,0.054935
125,0.043347
126,-0.085909
127,-0.084333
128,-0.046083
129,-0.068668
130,-0.113752
131,-0.036761
132,0.045421
133,0.033469
134,0.036865
135,0.082809
136,-0.00026
137,-0.014414
138,0.058669
139,-0.059264
140,0.051447
141,0.025999
142,-0.122165
143,-0.053612
144,0.136417
145,0.071072
146,-0.09138
147,-0.072421
148,0.083835
149,-0.044959
150,0.0255
151,0.061563
152,-0.021956
153,0.005723
154,0.029458
155,-0.017675
156,-0.092894
157,0.128148
158,-0.145055
159,0.038192
160,-0.112564
161,-0.107076
162,0.05795
163,-0.040599
164,0.069576
165,0.01088
166,0.069068
167,-0.139449
168,0.06534
169,-0.091235
170,-0.09543
171,-0.075341
172,0.072776
173,0.067031
174,-0.038048
175,-0.035901
176,0.036736
177,-0.053041
178,0.091705
179,-0.088422
180,-0.049536
181,0.087574
182,-0.050926
183,0.069283
184,-0.086132
185,-0.108391
186,0.026996
187,0.089287
188,-0.003988
189,0.032906
190,0.078783
191,0.068175
192,0.043794
193,-0.129909
194,-0.0373
195,0.051235
196,-0.079306
197,0.026386
198,-0.097425
199,-0.049413
200,0.062312
201,0.144849
202,0.037854
203,-0.092591
204,0.081974
205,0.042538
206,0.153007
207,-0.141868
208,-0.12179
209,0.061576
210,0.061888
211,0.030615
212,0.040155
213,-0.116043
214,0.070566
215,-0.068156
216,-0.049031
217,-0.136188
218,-0.050667
219,0.000233
220,-0.073468
221,0.076477
222,-0.124321
223,0.053549
224,0.05526
225,0.049689
226,-0.085558
227,-0.100359
228,0.033866
229,0.02126
230,0.068848
231,0.003592
232,0.040945
233,0.013417
234,-0.11104
235,0.042059
236,-0.042358
237,0.087706
238,0.039894
239,-0.069791
240,0.05579
241,-0.017231
242,0.071338
243,0.052984
244,-0.023774
245,0.061967
246,-0.055164
247,-0.145055
248,0.059327
249,0.059957
250,0.054182
251,0.050323
252,-0.014388
253,0.020605
254,0.030425
255,0.071644
256,0.048701
257,0.024254
258,-0.014268
259,-0.169064
260,0.001758
261,0.020263
262,0.064694
263,0.16832
264,0.068426
265,-0.05325
266,0.051745
267,0.047285
268,-0.142669
269,0.039865
270,0.086882
271,0.158469
272,0.060429
273,0.084208
274,-0.134287
275,0.148775
276,-0.057604
277,0.069582
278,0.009652
279,0.080348
280,0.027607
281,0.060997
282,0.137841
283,0.081362
284,-0.031435
285,0.082483
286,0.049647
287,0.014411
288,0.133503
289,-0.146616
290,-0.044102
291,-0.095199
292,-0.05782
293,-0.158532
294,-0.065974
295,-0.068502
296,-0.008792
297,0.022661
298,0.065239
299,-0.097106
300,-0.140426
301,0.171047
302,-0.146845
303,0.076103
304,-0.079522
305,0.059965
306,-0.043208
307,0.016887
308,0.061002
309,-0.154325
310,-0.030599
311,0.110528
312,-0.04861
313,0.07776
314,-0.159419
315,0.074133
316,-0.050312
317,-0.121433
318,0.055364
319,0.079378
320,0.139332
321,0.018265
322,0.014585
323,-0.021835
324,-0.058217
325,-0.122025
326,0.023549
327,0.05408
328,-0.094415
329,-0.086215
330,-0.131419
331,0.163713
332,-0.114259
333,0.019005
334,-0.03552
335,-0.113546
336,0.035169
337,-0.044301
338,-0.066376
339,-0.091748
340,0.145424
341,-0.019751
342,0.019017
343,0.059965
344,0.079075
345,0.141146
346,0.046792
347,0.021128
348,0.065672
349,-0.064198
350,0.161881
351,0.082606
352,0.015106
353,-0.032159
354,-0.031535
355,-0.119926
356,-0.152357
357,0.145964
358,0.14437
359,-0.111261
360,0.072862
361,-0.178902
362,0.032559
363,-0.031459
364,0.170261
365,-0.046224
366,0.076509
