,Gibbs free energy/eV
1,-2.43098
2,-2.72889
3,-1.43039
4,-2.67652
5,-1.32212
6,-2.61056
7,-2.58275
8,-2.17982
9,-1.35464
10,-2.45104
11,-2.19713
12,-2.63822
13,-1.94697
14,-2.53088
15,-2.47572
16,-2.91968
17,-2.29478
18,-2.54051
19,-2.55808
20,-2.14754
21,-1.17701
22,-2.83605
23,-2.45641
24,-2.39934
25,-3.1111
26,-2.76355
27,-1.23397
28,-2.59215
29,-2.48841
30,-2.58255
31,-1.19921
32,-2.59115
33,-2.27897
34,-2.43684
35,-2.66533
36,-2.32146
37,-1.74632
38,-2.0323
39,-2.33258
40,-1.8858
41,-2.69755
42,-2.58986
43,-1.30068
44,-1.98965
45,-2.44525
46,-2.54048
47,-1.70563
48,-2.16662
49,-1.7305
50,-2.29413
51,-0.790416
52,-2.20873
53,-1.68514
54,-2.91137
55,-2.40026
56,-1.37684
57,-2.89952
58,-2.46134
59,-1.60437
60,-2.55878
61,-2.54833
62,-2.41446
63,-2.80036
64,-0.957844
65,-2.47041
66,-2.93362
67,-2.84204
68,-2.56542
69,-2.90392
70,-2.29381
71,-2.46091
72,-2.71005
73,-3.28008
74,-2.45766
75,-1.80599
76,-1.30394
77,-2.46306
78,-1.17917
79,-2.23702
80,-2.4216
81,-2.55857
82,-2.04512
83,-2.28272
84,-2.261
85,-1.83269
86,-2.50071
87,-2.07501
88,-2.56634
89,-2.41899
90,-2.83719
91,-2.2332
92,-2.34216
93,-2.99433
94,-2.32354
95,-2.65129
96,-2.44122
97,-2.77597
98,-2.70455
99,-2.28661
100,-0.877365
101,-2.58946
102,-1.92401
103,-2.32557
104,-1.73435
105,-2.37322
106,-2.51033
107,-1.90645
108,-1.09154
109,-2.96737
110,-2.76453
111,-3.01703
112,-2.19243
113,-2.35847
114,-2.64791
115,-2.71426
116,-3.15657
117,-1.79049
118,-2.19069
119,-2.53452
120,-1.81209
121,-2.24746
122,-2.0554
123,-2.3748
124,-2.47898
125,-2.14491
126,-2.4964
127,-2.4469
128,-2.29159
129,-2.69087
130,-2.81019
131,-2.33611
132,-2.1586
133,-2.18445
134,-2.08782
135,-2.45183
136,-1.56013
137,-2.28393
138,-1.91127
139,-2.74165
140,-2.48335
141,-1.985
142,-2.74275
143,-2.7147
144,-0.947654
145,-2.4386
146,-2.3924
147,-2.31198
148,-2.37446
149,-2.54119
150,-2.18892
151,-2.70018
152,-2.30279
153,-2.29893
154,-1.5562
155,-1.80624
156,-2.54248
157,-1.0271
158,-3.05374
159,-2.08676
160,-2.84538
161,-2.82738
162,-2.31091
163,-2.14791
164,-2.58602
165,-1.83265
166,-2.56356
167,-2.89115
168,-2.51383
169,-2.70053
170,-2.74712
171,-2.48104
172,-2.44723
173,-2.46437
174,-2.13631
175,-2.32273
176,-2.03811
177,-2.43012
178,-2.10535
179,-2.72944
180,-2.13246
181,-2.34984
182,-2.21271
183,-2.58899
184,-2.93894
185,-2.8562
186,-2.01717
187,-2.29489
188,-1.96213
189,-2.09579
190,-2.48587
191,-2.30154
192,-1.15638
193,-2.75686
194,-1.57657
195,-1.01615
196,-2.86497
197,-2.05035
198,-2.67765
199,-2.7503
200,-2.51239
201,-1.27057
202,-2.5661
203,-2.58184
204,-2.51494
205,-1.19248
206,-0.784513
207,-2.87362
208,-2.6421
209,-2.67761
210,-2.33304
211,-1.402
212,-1.61314
213,-2.71678
214,-2.5533
215,-2.72821
216,-2.37547
217,-2.88335
218,-2.38937
219,-2.22342
220,-2.88262
221,-2.07717
222,-2.81686
223,-2.41948
224,-1.93312
225,-2.15349
226,-2.40475
227,-2.71041
228,-2.22643
229,-2.01548
230,-2.39529
231,-1.53358
232,-2.04159
233,-2.06879
234,-2.61047
235,-2.00021
236,-1.87782
237,-2.45134
238,-2.64714
239,-2.28993
240,-2.69509
241,-2.15645
242,-2.57627
243,-2.47351
244,-1.67241
245,-2.71796
246,-2.38889
247,-2.73428
248,-2.34456
249,-2.56997
250,-2.48358
251,-1.69226
252,-2.6143
253,-2.24783
254,-2.23082
255,-2.33404
256,-2.19939
257,-2.29973
258,-2.45219
259,-3.06817
260,-1.62585
261,-1.68919
262,-2.50779
263,-1.17607
264,-2.51411
265,-2.73927
266,-2.71112
267,-2.49258
268,-3.18409
269,-1.25009
270,-2.26872
271,-1.23241
272,-2.4075
273,-2.329
274,-2.90755
275,-1.05362
276,-2.09713
277,-2.24569
278,-1.75463
279,-2.38076
280,-2.08708
281,-2.5081
282,-0.756545
283,-2.43919
284,-2.16677
285,-2.46602
286,-1.35601
287,-2.06421
288,-1.18478
289,-2.82498
290,-2.39487
291,-2.80655
292,-2.44145
293,-3.13526
294,-2.90382
295,-2.37526
296,-2.59808
297,-2.32835
298,-2.48249
299,-2.64932
300,-2.6456
301,-1.06471
302,-3.03652
303,-1.41034
304,-2.58894
305,-2.44431
306,-2.75065
307,-2.11089
308,-2.46285
309,-2.79079
310,-2.33488
311,-1.03029
312,-2.23561
313,-2.81574
314,-3.35993
315,-2.71131
316,-1.89973
317,-2.89297
318,-2.76704
319,-2.37338
320,-0.988512
321,-2.11323
322,-2.08267
323,-2.73253
324,-2.32226
325,-2.7232
326,-1.28039
327,-2.65756
328,-2.90186
329,-2.73941
330,-3.12729
331,-1.18718
332,-2.84763
333,-2.14743
334,-2.39497
335,-2.67409
336,-2.18909
337,-2.29939
338,-2.51911
339,-3.21413
340,-1.39704
341,-1.68071
342,-2.32309
343,-2.46636
344,-2.27168
345,-0.584006
346,-2.11341
347,-1.5686
348,-2.28725
349,-2.45674
350,-1.41303
351,-2.34427
352,-2.23299
353,-2.22683
354,-1.83971
355,-2.74026
356,-3.17147
357,-1.23632
358,-1.44744
359,-2.72143
360,-2.24893
361,-3.09358
362,-2.20801
363,-2.57533
364,-1.17951
365,-2.52926
366,-2.29023
367,-2.50506
368,-3.17622
369,-1.93563
370,-2.04378
371,-1.40177
372,-2.80316
373,-2.71814
374,-1.18164
375,-2.86258
376,-2.79006
377,-2.66665
378,-2.38681
379,-2.24324
380,-2.75951
381,-2.53751
382,-1.54959
383,-2.71919
384,-2.32784
385,-2.20261
386,-2.18739
387,-2.94358
388,-1.79567
389,-2.95536
390,-1.93724
391,-1.7255
392,-2.56511
393,-1.72714
394,-1.79879
395,-1.86167
396,-3.28458
397,-2.97505
398,-2.57202
399,-2.70896
400,-2.43058
401,-0.782246
402,-2.46528
403,-2.28076
404,-1.26984
405,-2.62281
406,-2.16057
407,-2.50675
408,-2.42031
409,-1.96519
410,-2.98602
411,-2.35602
412,-2.59117
413,-2.85318
414,-1.60733
415,-2.57602
416,-2.42972
417,-2.05065
418,-2.89432
419,-2.34083
420,-2.28114
421,-2.56356
422,-2.80007
423,-1.98774
424,-2.44135
425,-2.72688
426,-2.31301
427,-2.30364
428,-1.56997
429,-2.42293
430,-2.16695
431,-2.67236
432,-2.65504
433,-2.45083
434,-2.46356
435,-1.38566
436,-2.73305
437,-2.90157
438,-2.36304
439,-2.24938
440,-2.16014
441,-2.34229
442,-2.54462
443,-1.17606
444,-2.14661
445,-2.92875
446,-2.56494
447,-2.15073
448,-2.88506
449,-2.79371
450,-2.35516
451,-1.40595
452,-2.39119
453,-2.30209
454,-1.85953
455,-2.73344
456,-2.31135
457,-2.12533
458,-3.10867
459,-2.4985
460,-2.26686
461,-1.51552
462,-2.20053
463,-2.5845
464,-2.18777
465,-2.68422
466,-1.33041
467,-2.69288
468,-0.641355
469,-2.03503
470,-0.814707
471,-2.62613
472,-2.43903
473,-1.99921
474,-2.22365
475,-2.03803
476,-2.47309
477,-2.46324
478,-2.52073
479,-2.30187
480,-2.88222
481,-2.03599
482,-2.06436
483,-2.56986
484,-3.14911
485,-2.78742
486,-2.24847
487,-2.39176
488,-2.3353
489,-2.27952
490,-0.611487
491,-2.02398
492,-1.34277
493,-2.31369
494,-2.09398
495,-2.80542
496,-1.40436
497,-2.6691
498,-2.02556
499,-2.43314
500,-1.86485
501,-1.90032
502,-1.95305
503,-2.13408
504,-3.05871
505,-2.39045
506,-3.00752
507,-2.39468
508,-2.58893
509,-2.37687
510,-2.43198
511,-2.31704
512,-1.64144
513,-1.77819
514,-2.10501
515,-2.81796
516,-1.38898
517,-0.809989
518,-2.51496
519,-2.13456
520,-2.53097
521,-2.24705
522,-2.05191
523,-2.17704
524,-2.61099
525,-2.34261
526,-1.8402
527,-2.48212
528,-2.37764
529,-2.37815
530,-1.8498
531,-1.12935
532,-2.5944
533,-2.21554
