mode_3_frequency(cm-1),mode_3_intensity,mode_4_frequency(cm-1),mode_4_intensity,mode_5_frequency(cm-1),mode_5_intensity,mode_6_frequency(cm-1),mode_6_intensity
322.477,3.0147,407.6646,0.1622,527.9516,2.9453,1815.2237,300.8666
349.6227,1.1698,436.8559,5.8445,573.2682,11.7693,1813.5452,280.29
284.0585,3.773,394.0379,5.9706,510.243,1.5834,1908.5734,316.3377
337.6833,0.6587,493.1234,5.5703,564.6538,16.1419,1750.4948,256.851
231.907,12.6593,237.5845,25.1338,421.1734,0.434,2080.0094,471.0669
334.2887,0.832,471.8809,7.1409,552.7989,15.0543,1741.4649,211.5923
389.6537,11.6518,454.4115,15.0017,515.8234,7.9209,2037.6792,554.1252
349.7829,38.8323,418.4003,7.8682,488.0797,119.617,2012.2376,443.5262
274.0768,4.7728,387.9127,2.3966,505.2775,5.9719,1875.3247,331.8731
388.9347,1.8016,406.7161,11.6303,502.7775,2.0276,1889.3067,386.7748
344.4183,3.8996,441.9536,0.4101,544.7305,1.9901,1854.0943,341.4584
371.6085,3.7389,460.1333,2.3464,557.0034,6.8854,1704.722,301.1444
263.35,2.9029,376.3132,16.6141,464.3599,1.9419,1863.7088,324.8039
390.4164,59.774,407.5696,0.0963,494.0918,4.441,2037.5051,478.0593
390.6738,0.9367,427.1885,25.9345,489.786,17.717,2022.0046,537.1677
362.9344,1.4895,489.9835,27.9676,542.2017,12.7425,1689.1324,273.6245
319.2328,5.0728,395.8954,2.901,492.6184,4.1506,1903.4948,285.6855
319.3879,3.0297,434.8493,5.1801,532.7106,21.4527,1791.0994,272.5291
389.7093,16.3211,423.4944,3.3477,511.8823,8.4698,2032.2237,642.2201
298.3856,73.5213,371.4405,29.1513,427.5222,25.7278,2029.031,545.2201
288.5478,5.5409,379.4776,1.3761,506.2864,10.1998,1902.2116,331.0834
366.2219,0.9008,456.3658,11.104,547.7451,13.4263,1710.6002,245.2822
346.3451,1.7807,432.8126,2.3104,550.128,8.4002,1844.3677,305.7332
413.8225,20.5348,422.6096,8.5146,464.1891,33.0684,2016.5359,406.8834
415.5091,2.5842,483.8148,3.5103,600.8936,37.7121,1801.1349,322.6783
363.5283,1.3484,474.7507,6.4083,564.8748,17.8011,1775.1333,353.5725
168.5593,19.7824,249.1938,1.3951,397.2333,6.0406,2080.5985,476.8915
317.2731,28.797,441.5539,11.8622,484.7361,6.7019,2034.6751,604.6853
350.4342,16.6779,384.3428,18.5184,481.0709,1.3847,1987.6341,447.7674
313.6862,1.4005,440.8405,6.1171,533.5695,0.2737,1772.4394,237.5468
178.9096,2.0121,228.7943,21.8679,384.7749,0.7959,2089.3983,463.0256
302.1465,0.8209,449.8228,1.0225,504.7085,6.8943,1744.9524,244.6994
356.4894,12.8719,371.1082,7.7054,504.8197,1.3101,2026.1718,517.9412
309.8465,5.425,402.274,4.7495,489.396,77.8212,1852.3099,282.8966
325.7259,0.3497,481.082,36.5919,532.1432,17.1915,1725.4687,231.5718
332.3352,2.57,424.4823,4.1871,529.8334,0.5946,1847.9924,282.5401
240.9071,5.2059,424.9098,1.7416,444.3207,17.4829,1866.8889,263.5738
359.1547,9.9745,386.3716,14.7626,394.8561,4.7474,2031.4116,447.4852
336.8877,24.6873,380.8173,7.9399,488.1783,2.5165,2029.9132,466.914
303.109,2.8383,426.0334,1.0773,533.7126,10.8208,1852.279,341.2001
354.0574,0.7826,433.5093,7.2535,564.2063,11.8216,1792.7044,278.8491
330.387,2.9253,457.7004,2.7462,535.7229,22.9147,1759.4865,246.6998
202.6045,6.4232,246.1964,40.8654,401.3482,0.0787,2086.9757,389.5063
320.7253,20.9709,347.5728,10.1809,420.8422,3.8075,2036.389,452.4734
374.9737,1.8556,399.086,39.1569,488.4688,3.0765,2014.218,514.6356
364.6967,0.4744,385.0024,3.4023,510.5937,3.4535,2032.7228,518.5466
255.706,2.7145,422.6694,6,471.8187,1.211,1858.9316,272.9092
