,charge transfer/e-
1,-0.015574
2,0.041201
3,0.074999
4,0.015588
5,0.065774
6,-0.028072
7,0.088962
8,-0.023766
9,0.078039
10,0.055591
11,-0.056797
12,0.001742
13,-0.016288
14,-0.068587
15,-0.0377
16,-0.052786
17,0.023126
18,-0.041481
19,-0.066366
20,0.099147
21,-0.029394
22,-0.000773
23,0.065122
24,-0.024767
25,0.045501
26,0.005524
27,0.050619
28,-0.02935
29,0.017443
30,-0.002092
31,0.121729
32,0.106649
33,0.079901
34,-0.050365
35,0.083951
36,0.0753
37,-0.04646
38,-0.010361
39,-0.03408
40,0.071366
41,0.065829
42,0.08728
43,-0.084071
44,-0.003308
45,-0.052458
46,-0.010124
47,-0.078077
48,0.094427
49,0.00234
50,0.102246
51,0.031259
52,-0.056108
53,-0.083111
54,0.112192
55,0.010243
56,0.005283
57,0.059988
58,0.0842
59,-0.012323
60,0.059916
61,-0.04891
62,-0.045426
63,-0.050151
64,-0.026795
65,-0.019819
66,0.102148
67,0.071219
68,0.036207
69,0.111578
70,-0.087241
71,-0.011682
72,0.001559
73,0.05203
74,0.017657
75,-0.011478
76,-0.061438
77,0.055667
78,-0.041362
79,-0.001262
80,0.004021
81,-0.035906
82,-0.058434
83,0.122466
84,0.089588
85,-0.052495
86,-0.058837
87,0.016518
88,-0.071659
89,0.089938
90,-0.066476
91,-0.017031
92,-0.005228
93,0.01564
94,0.03055
95,0.117768
96,-0.006289
97,-0.021837
98,0.097939
99,0.087615
100,0.049553
101,0.096614
102,-0.01515
103,0.028461
104,-0.006779
105,0.004383
106,0.063428
107,0.085311
108,-0.019779
109,0.077933
110,-0.005783
111,-0.009027
112,-0.036267
113,0.11081
114,0.07789
115,-0.016432
116,-0.002749
117,-0.072999
118,0.035054
119,0.077037
120,0.078543
121,0.010468
122,0.007416
123,-0.001922
124,-0.026438
125,-0.059594
126,0.011687
127,0.06753
128,0.095208
129,-0.021567
130,-0.094292
131,0.038821
132,-0.020918
133,0.074978
134,0.032512
135,0.077782
136,-0.009992
137,0.075891
138,-0.036674
139,-0.028857
140,0.089821
141,-0.005067
142,0.009495
143,-0.029686
144,-0.0007
145,-0.03844
146,0.092628
147,0.072973
148,0.07864
149,0.071062
150,-0.008036
151,0.00199
152,0.001935
153,0.069135
154,0.046924
155,-0.015788
156,-0.014795
157,0.053493
158,0.042496
159,-0.023451
160,0.104234
161,-0.011112
162,-0.026038
163,0.084718
164,0.098729
165,0.094674
166,-0.022383
167,0.022161
168,0.090919
169,0.110939
170,-0.043473
171,-0.114667
172,-0.00044
173,-0.023808
174,0.080415
175,-0.064211
176,0.105037
177,-0.01828
178,0.116519
179,-0.059392
180,0.02254
181,0.053858
182,-0.02262
183,-0.023826
184,-0.00513
185,0.001939
186,-0.060977
187,0.00664
188,-0.047661
189,-0.005331
190,-0.026732
191,0.09771
192,-0.036073
193,0.041317
194,-0.008764
195,0.012696
196,0.116246
197,-0.006488
198,0.008768
199,-0.019577
200,0.022928
201,-0.012105
202,0.042991
203,-0.00931
204,-0.021646
205,-0.015308
206,-0.04148
207,0.055402
208,-0.030696
209,-0.049737
210,-0.022959
211,0.076327
212,0.008378
213,0.01794
214,-0.052888
215,-0.030266
216,0.060129
217,0.067249
218,0.10681
219,0.084452
220,-0.046501
221,-0.054436
222,-0.01659
223,-0.030028
224,0.010553
225,-0.011194
226,-0.058069
227,-0.006459
228,0.068499
229,-0.022773
230,-0.062894
231,-0.05767
232,0.000468
233,0.112577
234,0.069732
235,-0.023273
236,-0.077672
237,-0.005114
238,0.019013
239,0.101811
240,0.116924
241,-0.049849
242,-0.010256
243,0.028026
244,0.000127
245,-0.0114
246,-0.006265
247,-0.012768
248,-0.028458
249,-0.003781
250,0.021705
251,0.004995
252,0.022277
253,0.028123
254,0.018376
255,0.068844
256,-0.017477
257,0.087562
258,0.064529
259,0.093143
260,-0.030596
261,0.010575
262,0.059575
263,-0.004794
264,0.100018
265,0.012228
266,-0.01992
267,0.11531
268,0.084776
269,-0.034035
270,0.014805
271,0.013838
272,-0.021239
273,0.055403
274,-0.064118
275,-0.069163
276,-0.031116
277,0.041705
278,0.045732
279,-0.064004
280,-0.046279
281,0.065637
282,0.064439
283,-0.023492
284,-0.039062
285,-0.007154
286,-0.045793
287,-0.040236
288,-0.087282
289,-0.10027
290,0.016135
291,0.082928
292,0.118828
293,0.073509
294,0.049111
295,0.029448
296,0.08089
297,0.093947
298,0.102865
299,-0.056758
300,0.095886
