,Gibbs free energy/eV
1,-2.47104
2,-2.31617
3,-2.30376
4,-1.58956
5,-2.17426
6,-1.83121
7,-2.45099
8,-2.3319
9,-2.03575
10,-2.2645
11,-3.08002
12,-2.39445
13,-2.8793
14,-2.57126
15,-3.1962
16,-3.14531
17,-1.40532
18,-2.30678
19,-2.60748
20,-2.43098
21,-3.05586
22,-2.76613
23,-2.176
24,-1.58875
25,-2.46296
26,-3.33162
27,-2.23256
28,-3.11097
29,-1.60006
30,-2.90675
31,-0.943539
32,-0.938789
33,-2.0791
34,-3.09019
35,-2.26205
36,-2.16376
37,-2.15302
38,-1.69387
39,-3.09977
40,-2.14714
41,-2.11184
42,-2.26819
43,-3.15907
44,-2.33132
45,-2.99268
46,-2.4724
47,-2.95993
48,-0.950556
49,-2.31717
50,-1.96234
51,-2.48052
52,-2.53505
53,-3.82366
54,-2.01262
55,-2.53347
56,-2.40953
57,-1.95296
58,-2.54781
59,-2.82808
60,-2.27803
61,-2.69442
62,-2.46019
63,-2.23581
64,-2.64548
65,-1.20183
66,-2.40502
67,-2.29252
68,-2.15296
69,-1.01386
70,-2.88076
71,-2.58561
72,-2.67177
73,-2.24773
74,-2.53203
75,-2.56389
76,-3.50573
77,-1.84729
78,-3.15159
79,-2.37888
80,-2.37043
81,-2.43788
82,-2.58298
83,-0.99823
84,-2.06121
85,-3.12095
86,-3.40139
87,-2.93898
88,-2.89326
89,-2.09904
90,-2.49339
91,-2.39098
92,-2.16166
93,-3.37026
94,-2.13637
95,-0.908282
96,-2.91041
97,-3.10885
98,-0.965102
99,-2.11839
100,-2.43627
101,-2.09177
102,-2.82036
103,-0.81478
104,-1.53948
105,-2.26758
106,-1.85447
107,-1.08335
108,-2.83929
109,-1.85598
110,-2.58322
111,-1.37527
112,-2.46078
113,-2.43932
114,-1.8648
115,-2.9263
116,-1.72598
117,-3.07164
118,-2.13453
119,-2.40923
120,-2.42795
121,-2.68365
122,-2.21738
123,-2.89926
124,-3.04061
125,-3.14972
126,-3.22429
127,-2.30811
128,-1.02642
129,-2.60106
130,-2.76086
131,-1.5209
132,-2.90651
133,-1.99479
134,-1.60813
135,-1.83351
136,-2.35997
137,-2.27653
138,-2.85938
139,-3.45333
140,-1.852
141,-2.98661
142,-2.30688
143,-2.65692
144,-2.74812
145,-3.11907
146,-0.934141
147,-2.26589
148,-0.984859
149,-0.972958
150,-2.39772
151,-2.61316
152,-2.62863
153,-1.30793
154,-2.26109
155,-2.95005
156,-3.02159
157,-1.22901
158,-2.00344
159,-1.8538
160,-1.81553
161,-3.37457
162,-2.77507
163,-2.30004
164,-1.00549
165,-2.42524
166,-2.61499
167,-2.32641
168,-2.37925
169,-2.32918
170,-2.26368
171,-3.8261
172,-2.95249
173,-2.34801
174,-2.03801
175,-3.06759
176,-1.02759
177,-3.11661
178,-2.10402
179,-1.93097
180,-1.70031
181,-2.60549
182,-2.4777
183,-2.72457
184,-2.96741
185,-2.24397
186,-2.9144
187,-2.50924
188,-2.7551
189,-1.90869
190,-3.30228
191,-2.12283
192,-2.79851
193,-0.761675
194,-2.65545
195,-3.20299
196,-1.0019
197,-2.76981
198,-1.73729
199,-2.94472
200,-2.3884
201,-2.89819
202,-2.41507
203,-3.38148
204,-2.82318
205,-1.81676
206,-2.97982
207,-2.00734
208,-3.10131
209,-2.90222
210,-2.49575
211,-2.06959
212,-3.20062
213,-2.17174
214,-3.18572
215,-2.62609
216,-2.93346
217,-1.82903
218,-2.59403
219,-1.97255
220,-2.91484
221,-2.65321
222,-1.97211
223,-3.07942
224,-3.84377
225,-1.68411
226,-3.75153
227,-2.42465
228,-2.24098
229,-2.66325
230,-3.31678
231,-2.03127
232,-3.51043
233,-0.946
234,-2.11244
235,-2.55827
236,-1.87431
237,-1.77752
238,-2.58554
239,-2.19834
240,-1.03194
241,-3.26176
242,-3.28896
243,-1.36169
244,-2.78516
245,-2.9282
246,-3.25249
247,-2.73247
248,-2.54512
249,-2.59405
250,-2.35906
251,-1.39009
252,-2.49755
253,-2.52391
254,-2.26069
255,-1.75252
256,-3.12144
257,-2.01648
258,-2.26361
259,-0.991017
260,-2.61408
261,-2.37332
262,-2.07695
263,-2.26266
264,-0.972034
265,-2.47242
266,-2.44512
267,-1.06825
268,-2.04675
269,-2.77935
270,-2.99869
271,-2.4056
272,-2.62256
273,-1.26998
274,-3.28682
275,-2.7912
276,-3.25546
277,-2.25203
278,-1.73061
279,-2.76697
280,-3.10501
281,-1.97765
282,-2.13186
283,-2.717
284,-2.80622
285,-3.03413
286,-3.14817
287,-2.72655
288,-2.76991
289,-3.1718
290,-2.67378
291,-1.9834
292,-0.929999
293,-1.85134
294,-2.4948
295,-1.63457
296,-0.978987
297,-2.3848
298,-1.99855
299,-3.08934
300,-2.14081
