mode_3_frequency(cm-1),mode_3_intensity,mode_4_frequency(cm-1),mode_4_intensity,mode_5_frequency(cm-1),mode_5_intensity,mode_6_frequency(cm-1),mode_6_intensity
244.7463,7.0339,415.8779,85.2648,503.7664,83.3875,1512.5095,412.3578
153.138,6.6851,161.0047,5.8674,537.5961,10.7969,1743.6152,780.6372
105.3548,0.0505,238.5522,5.9784,535.9865,6.155,1716.424,668.2196
197.0285,2.0389,270.5692,5.5643,404.8989,6.696,1550.2728,551.151
111.1685,2.8738,258.1673,8.9031,554.5078,3.0192,1719.5574,745.0453
219.4004,2.1197,425.2574,18.8646,492.758,1.9618,1437.6222,369.7291
89.9766,0.1766,250.231,12.7263,519.908,9.0762,1730.9293,720.001
287.1542,2.3831,438.2148,1.5276,553.665,3.7624,1499.4707,316.4604
136.0797,1.0564,295.5501,13.1103,584.0188,3.1442,1712.6236,624.9068
149.2448,9.8586,282.3222,2.6091,566.6483,4.8098,1707.1724,672.8789
321.8023,1.1617,580.4327,13.3879,633.4491,22.494,1424.9678,238.8201
226.8075,8.1699,330.3919,1.8188,615.9456,1.8654,1486.6791,234.1994
351.5613,2.5419,468.1532,10.0814,642.1828,7.1803,1492.3291,306.5374
310.2894,2.1135,446.246,3.7383,541.0824,4.4767,1479.9163,339.5098
320.8582,6.9308,504.9816,14.0295,624.1305,17.9832,1510.3912,308.0141
319.8157,0.6889,516.1372,44.2111,612.837,2.4819,1491.9728,275.5075
193.2029,2.0112,381.1187,1.8357,486.0295,10.2297,1578.1615,225.6218
218.1732,30.8398,305.0278,39.5284,484.2919,59.9257,1512.6973,363.3746
263.9312,1.7422,423.7663,10.7465,506.5505,21.0476,1502.9823,203.251
84.4135,0.0156,99.8843,0.503,490.1521,11.4502,1722.4394,558.8066
346.5851,1.3179,472.3217,3.3394,656.3361,14.9089,1458.3564,230.8785
303.6775,5.0309,518.4873,7.4534,609.8126,8.5486,1516.671,298.4655
108.9852,1.768,262.9258,9.3498,565.928,10.093,1726.5114,609.7602
97.9416,0.9103,251.6774,1.4303,399.1031,3.1989,1601.0056,241.1926
102.2055,0.6074,195.3953,21.8023,536.1774,18.133,1706.3408,755.5873
386.1531,1.9073,430.843,4.3631,691.6897,16.9892,1547.2489,346.9918
137.2355,10.8638,219.2356,11.495,505.4415,11.1484,1712.2927,681.8227
355.0762,1.8475,474.0365,19.9909,663.274,18.5285,1478.0769,303.9504
204.2362,3.0151,422.0404,1.3305,464.6872,1.0841,1540.4216,209.8787
360.8373,3.3572,414.0802,3.9027,681.3092,39.9791,1461.7742,209.5341
101.1475,0.8626,194.2624,12.232,440.0179,15.7302,1672.9501,1751.2045
158.5726,1.1134,219.5126,0.3876,442.3779,1.7827,1707.8474,1065.1609
105.9416,2.5454,235.3558,2.4697,532.9471,8.4767,1738.0402,745.4913
327.8039,0.6655,532.4825,10.2622,620.6797,29.4114,1486.5804,289.2343
105.9483,2.1685,226.7916,15.6509,544.4218,10.467,1734.9386,753.6848
139.0903,3.4019,262.0644,7.7527,543.7041,44.8563,1715.8789,710.273
232.3852,1.3671,406.4103,10.3084,468.3665,0.5426,1468.0379,304.7148
219.5417,1.4385,369.6666,75.7317,465.9468,41.9476,1455.0191,481.3559
326.5855,3.6129,412.09,8.1796,598.2789,15.554,1464.5844,352.8335
89.1376,0.3421,156.4816,12.6071,528.0932,19.8939,1701.3339,668.6249
121.7399,32.6402,193.137,12.0382,491.3263,91.1287,1727.3256,761.7103
122.5324,1.571,293.0531,5.6182,582.8839,2.9213,1731.6046,714.5698
303.7857,0.3587,523.1441,33.558,588.6716,18.9349,1457.4361,258.0888
