,charge transfer/e-
1,-0.14967
2,-0.141696
3,-0.139687
4,-0.139994
5,-0.111322
6,-0.163694
7,-0.172995
8,-0.134142
9,-0.11251
10,-0.076275
11,-0.124232
12,-0.145594
13,-0.159144
14,-0.138097
15,-0.103523
16,-0.133904
17,-0.095968
18,-0.236454
19,-0.21539
20,-0.21572
21,-0.130796
22,-0.127065
23,-0.137833
24,-0.185789
25,-0.131233
26,-0.158654
27,-0.069031
28,-0.135132
29,-0.102517
30,-0.096096
31,-0.138194
32,-0.144266
33,-0.05531
34,-0.140599
35,-0.125848
36,-0.027207
37,-0.098993
38,-0.131501
39,-0.135606
40,-0.133826
41,-0.128969
42,-0.167515
43,-0.15907
44,-0.13403
45,-0.155086
46,-0.117031
47,-0.122403
48,-0.05683
49,-0.141844
50,-0.242474
51,-0.13382
52,-0.136758
53,-0.148028
54,-0.082914
55,-0.137715
56,-0.189351
57,-0.149116
58,-0.139344
59,-0.168558
60,-0.154435
61,-0.137344
62,-0.107445
63,-0.078759
64,-0.121411
65,-0.103494
66,-0.05576
67,-0.145726
68,-0.130469
69,-0.137411
70,-0.102733
71,-0.052281
72,-0.238796
73,-0.054835
74,-0.130752
75,-0.084538
76,-0.141873
77,-0.017619
78,-0.133475
79,-0.038756
80,-0.151725
81,-0.103742
82,-0.032713
83,-0.137833
84,-0.182003
85,-0.135772
86,-0.090015
87,-0.14517
88,-0.148971
89,-0.208104
90,-0.167976
91,-0.155411
92,-0.128992
93,-0.128702
94,-0.125015
95,-0.235481
96,-0.150312
97,-0.130294
98,-0.051923
99,-0.136742
100,-0.123429
101,-0.108687
102,-0.194887
103,-0.137137
104,-0.103263
105,-0.125769
106,-0.066387
107,-0.156587
108,-0.127444
109,-0.179737
110,-0.109256
111,-0.11855
112,-0.155906
113,-0.147279
114,-0.135108
115,-0.118649
116,-0.102299
117,-0.151542
118,-0.135672
119,-0.043806
120,-0.052697
121,-0.074694
122,-0.124327
123,-0.047535
124,-0.126531
125,-0.145372
126,-0.138986
127,-0.138852
128,-0.170475
129,-0.124707
130,-0.054742
131,-0.148152
132,-0.055046
133,-0.153513
134,-0.237839
135,-0.101103
136,-0.043291
137,-0.13036
138,-0.116115
139,-0.147045
140,-0.139648
141,-0.174568
142,-0.113743
143,-0.175518
144,-0.132811
145,-0.107943
146,-0.130107
147,-0.143535
148,-0.142247
149,-0.13278
150,-0.0942
151,-0.14634
152,-0.173371
153,-0.121775
154,-0.121802
155,-0.105129
156,-0.101498
157,-0.137134
158,-0.131856
159,-0.171214
160,-0.155502
161,-0.168822
162,-0.119686
163,-0.173079
164,-0.137958
165,-0.123176
