,Gibbs free energy/eV
1,-0.634582148
2,-0.919458038
3,-1.042786458
4,-1.406174908
5,-0.765335838
6,-0.904869248
7,-1.348011308
8,-0.935418847
9,-1.000279958
10,-0.278945647
11,-1.455204837
12,-1.407521168
13,-0.908561387
14,-0.706257357
15,-0.436921737
16,-1.204244808
17,-0.307071348
18,-1.266291337
19,-1.149352478
20,-1.315262128
21,-1.454365637
22,-1.162863968
23,-0.736681837
24,-1.095155067
25,-1.438035068
26,-0.482274198
27,-0.265928847
28,-0.784341617
29,-0.919728048
30,-0.353952397
31,-0.452638618
32,-0.938323638
33,-0.181823168
34,-0.927821118
35,-0.992623028
36,-0.129240168
37,-0.710432898
38,-1.065284728
39,-1.095059178
40,-1.296607738
41,-0.409350588
42,-1.198946968
43,-1.241563378
44,-1.197189638
45,-1.171918268
46,-0.912482438
47,-0.793528697
48,-0.249092228
49,-1.049519657
50,-1.419709848
51,-0.687637107
52,-0.773899558
53,-0.825930247
54,-0.622180977
55,-1.301013208
56,-1.708001447
57,-1.002830708
58,-0.528203588
59,-1.727117298
60,-1.113568787
61,-0.653518088
62,-1.154101148
63,-0.217428818
64,-1.154903638
65,-0.939226638
66,-0.246919338
67,-1.518322478
68,-1.106337207
69,-1.390299908
70,-0.729102197
71,-0.197612598
72,-1.137265887
73,-0.207774597
74,-1.427388617
75,-0.246281317
76,-1.297419768
77,-0.135869088
78,-0.720502627
79,-0.218630548
80,-1.282067287
81,-1.024945687
82,-0.152962667
83,-0.438838988
84,-1.196517478
85,-0.841179748
86,-0.358007628
87,-0.851792458
88,-1.294566417
89,-1.704528448
90,-0.926026298
91,-1.187618437
92,-1.440749497
93,-1.152432898
94,-0.914497518
95,-1.468864078
96,-0.916109318
97,-0.200485797
98,-0.202631167
99,-0.968718207
100,-0.808437618
101,-0.755322167
102,-1.670061727
103,-1.533040668
104,-0.735610888
105,-0.413914397
106,-0.171635407
107,-1.198858077
108,-0.551925818
109,-1.041348228
110,-1.134890698
111,-0.781170498
112,-1.194978478
113,-1.335791458
114,-1.246162207
115,-0.481724227
116,-0.959657077
117,-1.195986528
118,-1.270457838
119,-0.180108118
120,-0.158341117
121,-0.221788668
122,-1.091639287
123,-0.197893067
124,-0.990144388
125,-1.557816337
126,-1.234203378
127,-0.784424338
128,-1.121869638
129,-1.422752297
130,-0.192703857
131,-1.023831558
132,-0.206558928
133,-1.405125888
134,-1.579878918
135,-0.186278588
136,-0.202944008
137,-1.465467268
138,-0.956400927
139,-0.920535538
140,-1.461685917
141,-0.994858368
142,-1.006838847
143,-1.185776958
144,-0.835987538
145,-0.903812038
146,-1.054745807
147,-0.986317867
148,-1.364775318
149,-0.682550088
150,-0.669315567
151,-1.432429927
152,-1.097185178
153,-1.538838508
154,-1.422994898
155,-0.668271228
156,-0.694635587
157,-1.670312578
158,-1.115706347
159,-1.260894128
160,-1.371823968
161,-1.122814488
162,-0.630685218
163,-1.109997197
164,-1.364385057
165,-0.681687507
166,-0.907579628
167,-0.190150867
168,-0.158299457
169,-0.833283728
170,-1.142972268
171,-1.396712448
172,-0.146118328
173,-0.556796037
174,-0.992911888
175,-0.164424507
176,-1.339724958
177,-0.223672727
178,-1.028686607
179,-0.857452977
180,-1.500234507
181,-1.329157317
182,-0.381676457
183,-0.142786598
184,-0.269609148
185,-1.738835718
186,-0.350758097
187,-1.186622837
188,-1.241576837
189,-1.299091138
190,-0.831753368
191,-0.901968947
192,-0.253355177
193,-1.408197338
194,-1.339034158
195,-1.639793148
196,-1.772049088
197,-0.925452337
198,-1.250968438
199,-1.294818908
200,-0.200245907
201,-1.929181038
202,-0.942889667
203,-0.654718537
204,-0.172745397
205,-0.570928357
206,-0.356584837
207,-0.778709637
208,-0.730365388
209,-0.163764657
210,-1.519334967
211,-0.927251247
212,-1.329060558
213,-0.390613028
214,-1.619927368
215,-1.317419678
216,-1.287320407
217,-0.195881607
218,-0.171430017
219,-1.085652678
220,-1.027349608
221,-1.180888227
222,-1.017940538
223,-0.167588058
224,-0.847355677
225,-0.713370057
226,-0.363354248
227,-1.051271458
228,-0.259136757
229,-0.711042138
230,-1.469989838
231,-0.325998078
232,-0.991080208
233,-0.575997637
234,-1.170182348
235,-1.511403298
236,-0.644828257
237,-1.557123027
238,-0.535355818
239,-0.222330417
240,-1.377074268
241,-1.514738468
242,-1.163489948
243,-1.450759077
244,-1.314319568
245,-0.921318148
246,-1.008524337
247,-0.681523768
248,-1.306528878
249,-0.470703007
250,-1.522529588
251,-0.399546727
252,-1.217731807
253,-1.548064007
254,-0.252015128
255,-0.562587227
256,-0.755420147
257,-0.644112597
258,-0.657286718
259,-0.308700617
260,-1.321392958
261,-1.243151427
262,-1.069494628
263,-1.612747058
264,-1.219775377
265,-0.208341198
266,-0.594989657
267,-1.722044208
268,-0.648953487
269,-0.851968408
270,-0.565801228
271,-0.806314288
272,-1.423473758
273,-0.271504258
274,-0.303445957
275,-1.884429507
276,-0.178052328
277,-0.164804117
278,-1.565452308
279,-1.193066408
280,-1.180117428
281,-0.740848078
282,-1.436859138
283,-1.581405458
284,-1.133112778
285,-1.415503998
286,-0.317466197
287,-0.755384338
288,-1.562327157
289,-1.498023658
290,-0.184784017
291,-0.378354697
292,-1.437076197
293,-0.915358777
294,-1.605828308
295,-1.368954337
296,-1.468137397
297,-1.504003988
298,-1.631950478
299,-0.824729257
300,-1.244553868
301,-0.944354638
302,-1.241999668
303,-1.454859478
304,-0.941675038
305,-0.636567668
306,-0.995812517
307,-0.841186247
308,-0.171585807
309,-0.777268907
310,-0.230676588
311,-1.549208967
312,-1.112411797
313,-1.221741578
314,-1.689355358
315,-0.598385617
316,-0.216075808
317,-0.190250738
318,-0.176726868
319,-0.741826197
320,-0.795475248
321,-1.471781237
322,-0.448882517
323,-1.320152238
324,-1.078218398
325,-0.189428607
326,-0.194081288
327,-1.545028768
328,-0.732836997
329,-0.582042918
330,-1.384381427
331,-0.795450158
332,-1.454637978
333,-1.033547377
334,-1.526097227
335,-0.577581798
336,-1.338959678
337,-1.509562647
338,-1.187993178
339,-0.544850277
340,-0.945757058
341,-0.773157338
342,-1.185561827
343,-0.905454377
344,-0.243282827
345,-1.665471258
346,-1.431785978
347,-0.790132197
348,-0.825334898
349,-0.186608927
350,-1.338135207
351,-1.110351467
352,-1.290014768
353,-0.323726307
354,-0.195045037
355,-0.219664508
356,-1.033816347
357,-0.918804487
358,-0.705080528
359,-0.675904698
