mode_3_frequency(cm-1),mode_3_intensity,mode_4_frequency(cm-1),mode_4_intensity,mode_5_frequency(cm-1),mode_5_intensity,mode_6_frequency(cm-1),mode_6_intensity
136.2779,8.2676,201.9882,0.9468,280.4468,110.9683,950.0653,329.1895
241.985,5.2238,336.8306,10.3932,420.9299,24.1864,996.4075,181.8765
189.7721,0.4023,326.4368,4.7557,504.3386,2.079,928.7055,175.9134
186.8052,3.4188,383.755,5.9625,564.6096,25.7459,978.5932,89.6409
152.3992,2.9862,288.3088,5.2871,469.8346,9.0027,1077.1525,133.3723
243.7653,6.9108,327.9002,21.5397,503.0203,1.44,961.5258,98.3899
209.2243,1.6809,392.8487,5.683,575.4634,16.4717,956.1613,83.8738
198.3256,0.9692,336.9082,16.7515,525.1219,5.5555,1026.0887,128.8037
187.1968,1.2389,305.6002,6.6683,543.1884,0.7963,979.9537,104.1312
141.6836,1.4764,215.4389,0.9451,351.0528,7.8211,1281.1936,342.1992
241.4225,4.056,358.3649,131.5745,411.0999,20.5459,907.339,36.7575
196.5573,3.862,358.3562,55.0254,559.4488,41.8334,940.7876,161.0377
208.9418,1.0646,276.4065,5.2997,502.8243,13.1065,1057.3712,190.0206
148.8566,1.2422,219.119,2.6556,441.6401,2.4501,1070.1682,195.579
211.5068,8.6382,269.0872,6.3074,411.3223,6.216,1119.0687,271.4625
282.9995,0.5043,373.7805,16.972,551.672,80.0935,925.2461,107.784
241.161,2.0139,308.5563,0.4332,453.4204,5.2123,1093.0702,152.8322
303.375,6.3448,368.8627,1.9337,475.4909,31.7469,877.0933,64.7603
252.3939,5.1287,394.1046,3.3272,463.1855,4.4557,822.9915,69.0149
296.0894,5.9229,333.4343,6.9797,474.9099,4.4825,872.0918,125.3285
196.9345,2.7186,394.3613,5.0018,600.8135,2.5292,893.6863,314.7587
206.65,5.4854,309.1138,18.6031,532.6311,11.243,862.8645,309.1647
164.0706,0.6985,268.1285,1.1598,508.7842,17.0009,1018.3178,324.7349
295.7713,0.1343,341.4427,0.2311,502.2209,39.9849,814.3783,84.8635
224.4609,0.6305,415.6415,2.4827,562.7403,5.7335,943.1932,98.2627
177.7049,68.3399,266.8971,3.6127,451.0693,15.4558,795.9964,425.075
161.9233,0.4598,282.3212,0.2005,352.8187,2.2553,1298.9795,296.149
202.6819,2.3274,287.5957,6.9307,519.815,0.4296,977.233,151.3314
281.8997,0.9152,310.0098,10.6762,554.2866,4.5216,954.7857,165.2176
237.9889,2.5237,313.0078,0.3483,456.782,2.1305,1108.0089,151.1291
269.5912,11.921,283.8155,2.9451,447.2957,8.8372,969.3634,161.9952
228.7306,0.391,328.2521,1.4695,500.6365,18.3399,982.8324,180.6015
123.3551,1.257,232.514,0.8077,320.5294,11.194,1338.8489,227.277
145.22,1.5958,230.4471,2.4052,478.1019,6.124,1106.1048,155.2008
195.1604,0.9408,323.793,2.4053,475.2959,0.305,1090.3248,173.4862
103.7769,0.0899,281.3441,0.8754,303.9633,0.4691,1421.3057,137.8517
227.5636,11.8063,259.9167,0.5366,545.177,28.7698,1130.9718,306.8904
246.2271,9.7565,370.1418,15.4211,571.2318,20.4518,915.9629,136.3881
202.8226,5.3738,359.5503,26.0504,548.3865,9.3733,944.3329,128.3194
210.9827,0.7578,315.5712,1.8066,559.3599,3.1941,959.9762,84.1423
242.5033,0.4669,257.2739,4.6639,448.7092,8.2687,1052.1578,106.9819
212.0656,2.0059,361.296,2.7255,566.662,33.5192,943.0698,128.6848
319.6399,4.9384,412.2838,7.5752,483.0046,2.7603,850.7078,69.7138
245.6922,5.6312,355.8761,4.4298,523.7267,18.6016,916.9554,117.3037
214.451,15.7114,341.3728,77.5125,488.6369,101.8904,910.5037,173.9778
179.124,1.0984,245.4251,12.9996,542.108,9.7185,856.5102,278.4232
214.2885,4.0335,291.9411,9.0862,541.6998,13.7089,959.5391,187.5264
147.3907,0.1849,281.7088,0.1736,339.9734,0.1319,1324.1558,228.1996
180.4041,0.3471,281.1578,5.1216,456.0627,131.9182,957.1945,305.5214
344.5946,2.5511,379.1033,5.7941,492.4401,0.554,894.0749,25.489
227.4522,2.2008,258.5885,2.1828,466.1827,6.7063,992.3395,217.6362
207.3236,116.6591,301.2123,1.924,394.2344,114.0684,881.4672,347.8538
142.1603,0.3398,245.3835,12.7248,477.3566,6.4898,1098.0169,212.4995
241.8939,0.6928,322.6136,3.8028,493.3136,2.5848,1076.5719,110.2751
209.1524,2.8668,374.8526,0.217,579.7958,17.8128,903.6006,91.416
332.9326,8.823,380.5665,10.3174,512.7659,5.3578,721.9092,64.3455
189.7574,15.082,253.5235,8.605,446.7523,15.1525,1064.1659,188.9028
202.003,2.7749,255.6702,0.8586,427.4595,5.8177,988.1491,172.9722
323.9624,55.5771,419.8969,14.1352,539.4478,70.3753,760.296,111.0731
231.8134,0.7064,281.8227,19.0619,544.6282,20.0303,991.156,194.5624
229.5769,0.1103,280.3402,2.3928,459.1157,5.8381,1074.9138,205.6351
194.6681,0.5774,355.6795,20.572,523.8308,3.5311,971.5582,141.7357
149.3063,1.4975,215.9855,1.7184,238.7433,2.9266,1290.5414,702.4549
199.2548,1.9941,375.2451,15.7716,537.9085,19.562,1026.6075,177.8995
170.4335,11.709,305.1058,33.8853,522.8763,26.88,997.6622,284.8526
151.5271,0.4078,294.7559,0.0052,358.6746,1.4308,1367.944,78.276
285.0614,13.8141,410.104,1.9977,556.0368,19.3497,810.4756,41.3333
201.4376,1.3024,317.5432,4.6199,565.2981,19.4935,954.5657,121.0139
219.8499,0.833,375.3216,1.1913,581.0854,6.411,865.4974,178.2934
266.9882,2.203,316.4929,7.7159,529.8087,7.9863,1044.7132,125.6218
136.0228,1.3698,215.2225,0.6615,343.59,2.8411,1326.1302,239.8922
315.7376,4.7845,356.6292,8.8515,451.4998,0.5676,885.6052,51.2846
156.4999,0.1334,300.8708,0.0404,356.6813,0.9933,1370.1239,55.3678
246.2862,0.7432,442.5821,4.3343,626.5738,4.9129,914.6083,60.3339
155.9784,4.9795,173.4768,1.4857,399.3999,14.9674,1259.9201,547.2451
224.9668,1.2804,438.5144,5.935,544.889,2.7852,858.4871,79.8119
117.1879,0.0672,282.2828,0.0095,314.6464,0.0156,1446.5622,20.9843
233.665,0.4729,243.6291,1.6451,458.7345,13.6424,1086.7785,265.0868
147.8264,0.1624,290.3843,0.0201,350.4913,0.4359,1382.0606,57.0962
248.1987,0.1868,383.0861,7.3817,552.8348,3.6731,970.1778,65.7779
203.3839,3.8725,337.5957,16.6635,575.5563,24.1365,989.5364,120.3825
147.6603,0.0308,288.3475,0.0011,353.1438,0.489,1395.0198,42.8328
173.6796,11.093,205.5179,6.8613,407.2595,22.9182,993.0234,253.7172
218.1975,1.535,403.2077,6.7026,471.2877,4.1884,766.8945,70.9415
223.9881,0.8798,307.6485,12.2772,510.3707,36.0542,1008.9814,344.7403
216.9233,5.5179,220.0037,1.5607,430.7452,3.835,1115.8654,210.3626
198.0461,2.6739,305.1989,3.0203,479.819,7.828,1001.5796,148.9424
221.1615,2.0658,405.1636,5.1343,558.4044,13.1909,935.5263,97.7709
332.1656,22.7215,398.0311,23.6938,478.421,1.5177,635.2947,23.3047
160.7172,0.4086,292.5541,1.2957,501.1289,0.8622,1039.6291,153.9143
180.0712,2.6506,214.2163,2.4102,518.6323,10.3903,992.5305,100.3888
223.9532,2.0809,428.7448,6.7203,600.4266,4.2202,957.533,76.4297
281.0014,11.206,329.044,7.7441,559.3855,8.592,947.0589,98.4411
208.2431,2.4157,274.9578,2.4205,544.337,42.0129,1018.5935,237.1698
342.8117,1.5605,382.3453,6.6838,414.0368,6.5864,678.283,94.6804
